Unique Flow Name,Location,Most Similar Process
"market for wastewater, average | wastewater, average | Cutoff, U",Rest-of-World,Waste water treatment
"market for wastewater, average | wastewater, average | Cutoff, U",Canada,Waste water treatment
"market for heat, district or industrial, natural gas | heat, district or industrial, natural gas | Cutoff, U",Global,"Revap LNG (liquified natural gas) from US in EU for heat, excl. combustion"
"market for heat, district or industrial, natural gas | heat, district or industrial, natural gas | Cutoff, U","Canada, Québec","Revap LNG (liquified natural gas) from US in EU for heat, excl. combustion"
"market for heat, district or industrial, natural gas | heat, district or industrial, natural gas | Cutoff, U","Canada, Alberta","Revap LNG (liquified natural gas) from US in EU for heat, excl. combustion"
"market for heat, district or industrial, natural gas | heat, district or industrial, natural gas | Cutoff, U","Canada, British Columbia","Revap LNG (liquified natural gas) from US in EU for heat, excl. combustion"
"market for heat, district or industrial, natural gas | heat, district or industrial, natural gas | Cutoff, U",Rest-of-World,"Revap LNG (liquified natural gas) from US in EU for heat, excl. combustion"
"market for heat, district or industrial, natural gas | heat, district or industrial, natural gas | Cutoff, U",Canada,"Revap LNG (liquified natural gas) from US in EU for heat, excl. combustion"
"market for copper oxide | copper oxide | Cutoff, U",Global,"Carbon dioxide, liquid"
"market for copper oxide | copper oxide | Cutoff, U","Canada, Québec","Carbon dioxide, liquid"
"market for copper oxide | copper oxide | Cutoff, U","Canada, Alberta","Carbon dioxide, liquid"
"market for copper oxide | copper oxide | Cutoff, U","Canada, British Columbia","Carbon dioxide, liquid"
"market for copper oxide | copper oxide | Cutoff, U",Rest-of-World,"Carbon dioxide, liquid"
"market for copper oxide | copper oxide | Cutoff, U",Canada,"Carbon dioxide, liquid"
"market for water, deionised | water, deionised | Cutoff, U",Global,Deionized water production
"market for water, deionised | water, deionised | Cutoff, U","Canada, Québec",Deionized water production
"market for water, deionised | water, deionised | Cutoff, U","Canada, Alberta",Deionized water production
"market for water, deionised | water, deionised | Cutoff, U","Canada, British Columbia",Deionized water production
"market for water, deionised | water, deionised | Cutoff, U",Rest-of-World,Deionized water production
"market for water, deionised | water, deionised | Cutoff, U",Canada,Deionized water production
"market for sulfuric acid | sulfuric acid | Cutoff, U",Global,"Sulfuric acid esters (n=1, std=-)"
"market for sulfuric acid | sulfuric acid | Cutoff, U","Canada, Québec","Sulfuric acid esters (n=1, std=-)"
"market for sulfuric acid | sulfuric acid | Cutoff, U","Canada, Alberta","Sulfuric acid esters (n=1, std=-)"
"market for sulfuric acid | sulfuric acid | Cutoff, U","Canada, British Columbia","Sulfuric acid esters (n=1, std=-)"
"market for sulfuric acid | sulfuric acid | Cutoff, U",Rest-of-World,"Sulfuric acid esters (n=1, std=-)"
"market for sulfuric acid | sulfuric acid | Cutoff, U",Canada,"Sulfuric acid esters (n=1, std=-)"
"market for chlorine, liquid | chlorine, liquid | Cutoff, U",Global,"Carbon dioxide, liquid"
"market for chlorine, liquid | chlorine, liquid | Cutoff, U","Canada, Québec","Carbon dioxide, liquid"
"market for chlorine, liquid | chlorine, liquid | Cutoff, U","Canada, Alberta","Carbon dioxide, liquid"
"market for chlorine, liquid | chlorine, liquid | Cutoff, U","Canada, British Columbia","Carbon dioxide, liquid"
"market for chlorine, liquid | chlorine, liquid | Cutoff, U",Rest-of-World,"Carbon dioxide, liquid"
"market for chlorine, liquid | chlorine, liquid | Cutoff, U",Canada,"Carbon dioxide, liquid"
Nitrogen,,"Nitrogen, liquid"
"Carbon dioxide, non-fossil",,Carbon dioxide
"Carbon monoxide, biogenic",,Carbon monoxide
Sulfur dioxide,,"Sulfuric acid esters (n=1, std=-)"
Nitrogen dioxide,,Nitric acid
Nitric oxide,,Nitric acid
Water,,"Water based paint, transparent"
Argon,,Argon
"carbon dioxide, liquid",,"Carbon dioxide, liquid"
Oxygen,,MAP Oxygen gas at 1 bar 0 degr C
Hydrogen,,"Hydrogen, methane to hydrogen (SMR)"
"carbon dioxide, liquid",British Columbia,"Carbon dioxide, liquid"
Methane,,Methane
